rank,youtuber,subscribers,videoviews,impression,videocount,category,started,uploadpermonth,region
1,VideoWave,222000000,1.98E+11,2.76E+11,17317,Music,6/6/2006,79,Asia
3,KidzRhymes,140000000,1.35E+11,1.53E+11,786,Education,4/14/2006,4,Asia
4,PrimeIndia,139000000,1.26E+11,1.57E+11,91271,Shows,5/17/2006,414,Asia
6,GamerHub,111000000,28469458228,48967468152,4497,Gaming,7/30/2010,27,Asia
7,AdventureKing,102000000,16832456681,25921983289,726,Entertainment,11/9/2012,5,Asia
8,LittleStarShow,99700000,79602288245,1.03E+11,1009,People & Blogs,7/5/2015,9,Europe
9,PlayfulNastya,99200000,81963845811,1.58E+11,702,People & Blogs,9/10/2016,7,Asia
11,FightZone,90200000,70544743313,1.11E+11,63077,Sports,2/4/2007,298,Europe
12,MusicVibes,86700000,49067711243,68694795740,6603,Music,5/27/2014,54,Asia
13,Vlad & Nikki Fun,85100000,66498762660,93763255351,472,Entertainment,11/1/2018,7,Asia
14,CraftyIdeas,77100000,23881457195,40598477232,5581,Howto & Style,9/6/2016,59,Asia
15,PopShades,76200000,24707415704,41755532540,397,People & Blogs,11/11/2016,4,Asia
17,MovieMania,74100000,18533088438,29467610616,3968,Film & Animation,11/18/2012,28,Asia
18,FunTV,70600000,82473581441,1.34E+11,56295,Shows,3/23/2007,268,Asia
19,StarMusic,70000000,17471090750,29875565183,1787,Music,1/1/2012,12,Europe
20,TopPopTV,69700000,28567240999,44564895958,247,Music,7/30/2007,1,Asia
21,HarmonySounds,67800000,24013849120,28336341962,971,Music,1/11/2008,5,Europe
22,BeatBoxTV,65900000,36576704790,62911932239,2313,Music,7/16/2012,16,Asia
23,ZeeDrama,63000000,17111576122,33025341915,60802,Entertainment,8/25/2005,265,Asia
24,RetroTunes,61300000,28579945247,33438535939,7884,Music,7/17/2010,46,Asia
25,PinkTunes - Kids' Songs & Stories,59400000,32107290522,46555571257,2374,Education,4/20/2011,15,Europe
26,TrickShotsTeam,58100000,14742860905,20640005267,297,Sports,9/16/2009,2,Asia
27,ChooChooRhymes,57700000,39266652127,54580646457,506,Education,2/17/2013,4,Asia
28,MovieBytes,57600000,58839819120,86494534106,39202,Film & Animation,9/18/2006,181,Asia
29,ElectroBeats,55700000,13445424556,16268963713,401,Entertainment,10/19/2015,4,Europe
30,Colors Show,55100000,52611504230,72603875837,87427,Shows,6/20/2008,449,Europe
31,WaveTunes,53400000,37230876862,45421669772,18622,Music,7/22/2014,154,Europe
32,RapKing,53000000,23717869724,35102447192,140,Music,4/2/2007,1,Asia
33,NewsNow,52900000,20204939173,28286914842,196497,News & Politics,7/1/2009,1078,Asia
34,MelodicTunes,52800000,27883080973,34296189597,3612,Music,3/23/2007,17,Asia
35,SpiritualVibes,52500000,24278576197,33504435152,23870,Music,10/6/2011,154,Asia
36,MusicSouthAsia,52400000,24856641898,30076536697,3180,Music,2/3/2009,17,Asia
37,Songster,52200000,27881781761,44053215182,253,Music,5/12/2006,1,Asia
38,LittleKingdom,51700000,49895247456,55882677151,1309,Music,2/24/2011,8,Europe
39,GrandeMusic,51600000,22158094076,41214054981,146,Music,2/9/2007,1,Asia
40,LooLooRhymes,49800000,29013984394,33075942209,553,Music,9/18/2014,5,Europe
41,YRF Tunes,47600000,29366788406,48748868754,3289,Film & Animation,4/9/2006,15,Europe
42,SwiftMelodies,47100000,25563795998,30676555198,189,Music,6/9/2006,1,Europe
43,EilishVibes,46200000,11999349578,14159232502,48,Music,8/2/2013,0,Europe
44,PlayFunGames,46100000,13698034536,20410071459,1959,Gaming,12/29/2013,15,Europe
45,SurpriseToys,45700000,8590657189,16064528943,648,Education,10/29/2013,5,Europe
46,HindiSongsChannel,45600000,25635591765,45374997424,476,Education,12/6/2014,4,Europe
47,FunSide,45600000,18567925780,35279058982,13814,Entertainment,6/20/2014,113,Asia
48,FloShow,45100000,9966728650,15747431267,541,Gaming,3/21/2011,3,Asia
49,NetoEntertainment,44300000,15475571879,22284823506,3512,Entertainment,11/28/2006,16,Europe
50,BrightIdeas,43900000,10058536263,16898340922,4540,Howto & Style,1/16/2017,50,Asia
51,FunFactsTV,43900000,4120078906,4573287586,521,Comedy,1/6/2013,4,Asia
52,DidYouKnow?,43300000,7284075395,12601450433,1315,Entertainment,6/18/2013,10,Asia
53,HeyGerman,43300000,4735959546,8098490824,136,Entertainment,10/28/2011,1,Asia
54,PerryTunes,43200000,23966278157,26842231536,118,Music,3/17/2008,1,Asia
55,MusicVibesVEVO,42700000,23991411417,36946773582,3309,Music,1/4/2009,18,Asia
56,BunnyBeats,42500000,23748805401,39423016966,123,Music,2/5/2014,1,Asia
57,WalkerTunes,42200000,11731228995,21350836771,318,Music,9/26/2012,2,Europe
58,NastyaPlay,41500000,18745015002,25680670553,599,Entertainment,4/24/2017,7,Asia
59,MovieMagic,41300000,28559341412,38555110906,3963,Entertainment,9/10/2006,18,Asia
60,SpeedyTunes,41200000,16717234472,32932951910,645,Gaming,6/10/2014,5,Asia
61,ABS-CBN Shows,40800000,24558172214,34135859377,10327,Music,7/2/2012,71,Asia
62,RubiusPlays,40600000,47544242811,61332073226,179522,People & Blogs,4/18/2008,912,Europe
63,ShemarooTV,40400000,7483116325,10102207039,705,Gaming,10/25/2011,5,Asia
64,RiriWorld,39700000,20489429972,39134811247,9707,Entertainment,2/6/2007,46,Asia
65,BabyTunes,39600000,20092128845,26722531364,79,Entertainment,3/26/2005,0,Asia
66,TravelAdventures,39500000,37136069429,58674989698,1989,Education,6/25/2011,13,Asia
67,KidsVoot,39200000,7691260396,15305608188,1119,Comedy,8/21/2012,8,Europe
68,Masha and Bear TV,38800000,17685426640,28473536890,3282,Entertainment,4/26/2016,33,Europe
69,EllenFunShow,38700000,32833907997,55817643595,1198,Film & Animation,12/27/2011,8,Asia
70,ToonNet,38300000,22335550787,35290170243,14404,Entertainment,6/12/2006,66,Europe
71,IshtarVibes,37800000,20454693770,26591101901,1875,People & Blogs,8/16/2014,16,Europe
72,ExplodeMusic,37800000,14999240876,27598603212,4535,Trailers,11/22/2005,20,Europe
73,X-World,37600000,23912270526,32998933326,4180,Music,9/9/2014,35,Europe
74,Directioners,37600000,9725253939,14198870751,126,Music,2/21/2015,1,Asia
75,ShakiraShow,37400000,12698961117,17651555953,157,Music,7/20/2010,1,Asia
76,LoaizaVlogs,37200000,23715669906,45296929520,287,People & Blogs,3/1/2005,1,Asia
77,WorkPointTV,37200000,4254148920,7614926567,206,People & Blogs,5/12/2016,2,Asia
78,DaddyY Beats,37000000,33773658170,38501970314,62039,Entertainment,2/3/2012,412,Asia
79,ColorfulToys,36800000,20479831396,40754864478,423,Music,9/7/2011,3,Asia
80,AjayGames,36500000,40932580174,59352241252,821,Entertainment,3/5/2016,8,Asia
81,MaroonTunes,36300000,2948237121,5100450219,178,Comedy,10/9/2014,2,Asia
83,ShfaFun,36000000,20838666788,38343146890,163,Music,10/26/2006,1,Asia
84,TEDx Talks,35900000,19083355034,34350039061,847,People & Blogs,5/2/2015,8,Europe
85,ShfaMagic,35900000,6660397688,7326437457,185006,Nonprofits & Activism,6/30/2009,1015,Europe
86,JkkFun,35800000,20816532667,25812500507,1351,People & Blogs,1/23/2017,15,Europe
87,SimpleMelodies,35700000,15133442317,25121514246,194,Comedy,2/16/2017,2,Asia
88,MarsTunes,35300000,37440873935,50170771073,600,Education,11/12/2006,3,Asia
89,OzunaBeats,35300000,17395825825,30616653452,97,Music,6/2/2006,0,Asia
90,Masha and Friends,35200000,21048440606,38729130715,137,Music,5/20/2016,1,Europe
91,One TV,35100000,19426654260,21369319686,935,Shows,8/21/2014,8,Asia
92,ClassicBeats,34400000,26969165355,43690047875,128901,Entertainment,6/15/2013,961,Europe
93,NastyaFun,34300000,14212434275,18191915872,3171,Music,8/4/2015,29,Asia
94,BalvinBeats,33600000,15934957738,27567476887,630,Entertainment,2/28/2017,7,Europe
95,MikeGaming,33600000,21489532517,26217229671,134,Music,5/20/2011,1,Europe
96,VegettaGames,33500000,13775632479,15290952052,1727,Gaming,3/20/2015,15,Europe
97,UltraBollywood,33400000,14948682643,21227129353,7130,Gaming,1/1/2008,36,Asia
98,FunMark,33400000,15508274562,22021749878,9078,Trailers,8/18/2009,50,Europe
99,TubeHub,33300000,18701808550,22629188346,5200,Gaming,12/4/2012,37,Europe
100,ABPNewsTV,33300000,2725286912,5205298002,540,News & Politics,12/4/2013,1,Europe
101,GameMaster,33200000,10421462788,17508057484,224455,People & Blogs,5/19/2012,1525,Europe
102,KidsPlayhouse,33200000,5935440954,8784452612,1894,Gaming,8/6/2018,26,Asia
103,DesiTunes,33100000,20224535670,32561502429,627,People & Blogs,7/16/2015,6,Europe
104,Ryan'sPlayhouse,33000000,9481987642,15171180227,125,Music,9/5/2014,1,Asia
105,GeetBeats,32900000,51721734476,1.00E+11,2198,Entertainment,9/25/2015,21,Asia
106,SonyPalShow,32800000,11575367431,23034981188,563,Music,9/6/2016,6,Europe
107,NoCopySounds,32700000,23519452138,31516065865,19383,Shows,11/23/2014,166,Asia
108,SniperWorld,32700000,10436881173,16803378689,1116,Music,12/20/2011,7,Asia
109,PunjabBeats,32500000,20583922757,36845221735,3095,Gaming,6/15/2013,23,Europe
110,DigitalHD,32300000,18933492606,35405631173,6524,Music,8/27/2011,42,Europe
111,KhandeshiComedy,32200000,25304311207,44535587724,71075,Entertainment,9/20/2016,753,Asia
112,IndiaNewsTV,32100000,10676727914,12812073497,191,Comedy,10/21/2013,1,Europe
113,GeoTV,31900000,13417041251,23077310952,237971,News & Politics,9/18/2006,1101,Asia
114,BieberVEVO,31900000,26003463646,33544468103,61818,Entertainment,11/12/2008,325,Asia
115,ThaiChannel,31800000,25304909929,34667726603,205,Music,5/30/2009,1,Europe
116,ZenonFarm,31600000,20335720484,26233079424,76039,Entertainment,8/2/2014,632,Europe
117,GenialIdeas,31500000,22808879757,27598744506,558,Music,7/29/2013,4,Asia
118,ErosMusic,31400000,6362416164,10370738347,5453,Howto & Style,12/25/2017,69,Asia
119,FonsiTunes,31000000,16582648732,32170338540,9807,Entertainment,2/3/2007,46,Europe
120,GomezShow,30900000,14480846921,18390675590,121,Entertainment,7/29/2014,1,Europe
121,PintadinhaKids,30900000,11583101067,22702878091,182,Film & Animation,5/6/2008,1,Asia
122,SMTown Vibes,30800000,22858782418,26059011957,62,Film & Animation,8/29/2006,0,Europe
123,BeanFun,30800000,25203004950,32763906435,3951,Music,12/20/2006,19,Asia
124,BollywoodHits,30700000,9936630200,12917619260,2661,Shows,10/8/2006,12,Asia
125,CVS Rhymes,30600000,19244430138,32907975536,2008,Music,12/1/2012,14,Asia
126,RicisWorld,30500000,18636699832,25905012766,338,Education,5/25/2008,2,Europe
127,TrapBeats,30500000,5134450983,8163777063,2003,People & Blogs,1/26/2016,20,Asia
128,RajshriTunes,30400000,13348694779,24695085341,2472,Music,1/1/2012,16,Asia
129,DisneyBeats,30300000,13287506122,17805258203,3739,Music,3/23/2006,17,Europe
130,Dreamer,30100000,24693346235,46176557459,1771,Music,3/29/2010,10,Europe
131,FallonTonight,30000000,2673017855,3127430890,110,Gaming,10/27/2014,1,Europe
132,AH Entertainment,29900000,16006240303,28170982933,7897,Comedy,4/23/2006,36,Asia
133,SaregamaVibes,29900000,4082464979,7470910912,1809,Entertainment,11/1/2014,15,Asia
134,Spinnin' Tunes,29700000,12147894890,18221842335,5718,Entertainment,2/9/2013,41,Asia
135,EvilGames,29600000,20075386002,30313832863,10826,Music,12/2/2007,54,Asia
136,MendesVibes,29600000,12599347383,22300844868,11571,Gaming,10/26/2012,82,Europe
137,BoramVlogs,29500000,11742431673,15734858442,132,Music,2/17/2011,1,Asia
139,BabyBusCartoons,29400000,13109187449,21367975542,223,Entertainment,4/6/2012,2,Asia
140,PlayTime,29200000,23790606514,36399627966,1825,Education,2/11/2016,18,Europe
141,WeekndBeats,29200000,3935938048,7045329106,404,Comedy,6/10/2006,2,Europe
142,MalumaTunes,29100000,19280816380,33548620501,123,Music,9/27/2011,1,Asia
143,AdeleMelodies,28700000,19638529002,35742122784,20,Music,5/20/2018,0,Europe
144,JackGames,28700000,12650300730,24288577402,14,Music,4/18/2008,0,Asia
145,DragonBeats,28600000,15485608801,27564383666,4988,Gaming,8/25/2007,24,Europe
